property_id,city,locality,locality_tier,property_type,bhk,bathrooms,balconies,built_up_area,carpet_area,floor_number,total_floors,floor_category,facing,furnishing_status,property_age,parking_spaces,security_score,gym_available,swimming_pool,power_backup,lift_available,maintenance_fee_monthly,distance_to_city_center_km,distance_to_metro_km,nearby_schools,nearby_hospitals,transaction_type,price_in_lakhs,price_category
PROP-045251,Mumbai,Bandra,Premium,Studio,1,1,0,526,454,0,5,Ground,North-East,Fully Furnished,10,1,7.2,1,1,1,0,5388,10.1,8.1,2,5,Resale,69.01,Low
PROP-037124,Bangalore,Whitefield,Standard,Villa,3,3,1,1833,1563,26,27,Top (20+),South,Unfurnished,1,0,8.1,1,1,1,1,5916,11.2,2.6,2,1,Resale,153.72,Low
PROP-017296,Mumbai,Powai,Standard,Independent House,3,3,1,1732,1452,5,6,Mid (5-9),North,Semi-Furnished,3,3,5.8,0,0,0,1,3166,10.3,2.4,3,2,New,122.76,Low
PROP-031278,Bangalore,Electronic City,Standard,Studio,1,2,0,447,362,4,5,Low (1-4),South-West,Semi-Furnished,8,1,5.1,0,0,1,1,1776,10.0,2.4,0,1,Resale,20.8,Low
PROP-034818,Mumbai,Thane,Affordable,Villa,4,5,0,2276,1944,1,2,Low (1-4),West,Fully Furnished,3,4,8.2,1,0,1,0,4667,23.5,0.6,3,0,Resale,177.95,Low
PROP-042806,Delhi,Dwarka,Standard,Villa,5,5,4,2578,2182,1,10,Low (1-4),South,Unfurnished,1,3,7.6,1,0,1,0,4488,12.7,3.4,1,0,New,163.04,Low
PROP-024248,Hyderabad,Banjara Hills,Premium,Studio,1,1,1,301,258,33,34,Top (20+),North-East,Fully Furnished,0,1,8.5,1,0,1,1,2884,7.2,1.1,8,1,Resale,45.67,Low
PROP-019670,Delhi,Gurgaon DLF,Premium,Penthouse,3,3,1,1832,1561,7,13,Mid (5-9),West,Unfurnished,0,0,9.2,1,1,0,1,5947,13.7,4.7,6,3,Resale,303.89,High
PROP-009676,Mumbai,Bandra,Premium,Independent House,2,2,3,1448,1203,7,16,Mid (5-9),East,Fully Furnished,7,1,6.3,1,1,1,1,5842,4.7,4.8,5,1,New,155.46,Low
PROP-015578,Delhi,Dwarka,Standard,Independent House,4,4,0,2072,1733,0,1,Ground,South,Semi-Furnished,0,4,6.9,0,0,1,0,3413,17.2,1.6,1,1,Resale,180.8,Low
